epoch,accuracy,loss,val_accuracy,val_loss
0,0.9289511442184448,3.269049644470215,0.9337016344070435,0.516272246837616
1,0.9732161164283752,0.2119879424571991,0.970534086227417,0.22484207153320312
2,0.9831323027610779,0.10131733864545822,0.9677716493606567,0.4449895918369293
3,0.9806787967681885,0.22062735259532928,0.9456722140312195,0.772230863571167
4,0.9782252907752991,0.2962645888328552,0.9714548587799072,0.503569483757019
5,0.9833367466926575,0.31497547030448914,0.9742172956466675,0.47862908244132996
6,0.9886526465415955,0.1587534099817276,0.9779005646705627,0.4830869734287262
7,0.9900838136672974,0.12961874902248383,0.9742172956466675,0.5153977870941162
8,0.9906972050666809,0.0930245891213417,0.9650092124938965,0.6800736784934998
9,0.9927417635917664,0.0877142995595932,0.9779005646705627,0.3905719220638275
10,0.9925373196601868,0.08739683777093887,0.979742169380188,0.34477707743644714
11,0.9940707683563232,0.07330136001110077,0.9779005646705627,0.4175424575805664
12,0.9934573769569397,0.1273481696844101,0.9751381278038025,0.33511319756507874
13,0.9932529330253601,0.049117639660835266,0.9769797325134277,0.43819931149482727
14,0.9918217062950134,0.09815751016139984,0.9677716493606567,0.7118842005729675
